Product Full Name (Generated),Full Model with batch number (Generated),FCC ID (Generated),IC ID (Generated),GS1 US TIN
Pixels Single Die Charger,CHG-001A (BK) 190-WWYY,2BB52-CHG001A,31060-CHG001A,
Pixels Single Die Charger,CHG-001A (BK) 200-WWYY,,,
Pixels Large Charging Case Black,CHG-008A (BK) 10-WWYY,2BB52-CHG008A,31060-CHG008A,
Pixels D20 Midnight Galaxy,PXL-D20A (MG) 151-WWYY,2BB52-PXLDIEA,31060-PXLDIEA,00850055703001
Pixels D20 Midnight Galaxy,PXL-D20A (MG) 152-WWYY,,,
Pixels D20 Aurora Sky,PXL-D20A (AS) 152-WWYY,,,00850055703018
Pixels D20 Clear,PXL-D20A (CL) 152-WWYY,,,00850055703025
Pixels D20 Onyx Black,PXL-D20A (OB) 152-WWYY,,,00850055703032
Pixels D20 Hematite Grey,PXL-D20A (HG) 152-WWYY,,,00850055703049
Pixels D12 Midnight Galaxy,PXL-D12A (MG) 30-WWYY,,,00850055703056
Pixels D12 Aurora Sky,PXL-D12A (AS) 30-WWYY,,,00850055703063
Pixels D12 Clear,PXL-D12A (CL) 30-WWYY,,,00850055703070
Pixels D12 Onyx Black,PXL-D12A (OB) 30-WWYY,,,00850055703087
Pixels D12 Hematite Grey,PXL-D12A (HG) 30-WWYY,,,00850055703094
Pixels D00 Midnight Galaxy,PXL-D00A (MG) 30-WWYY,,,00850055703100
Pixels D00 Aurora Sky,PXL-D00A (AS) 30-WWYY,,,00850055703117
Pixels D00 Clear,PXL-D00A (CL) 30-WWYY,,,00850055703124
Pixels D00 Onyx Black,PXL-D00A (OB) 30-WWYY,,,00850055703131
Pixels D00 Hematite Grey,PXL-D00A (HG) 30-WWYY,,,00850055703148
Pixels D10 Midnight Galaxy,PXL-D10A (MG) 30-WWYY,,,00850055703155
Pixels D10 Aurora Sky,PXL-D10A (AS) 30-WWYY,,,00850055703162
Pixels D10 Clear,PXL-D10A (CL) 30-WWYY,,,00850055703179
Pixels D10 Onyx Black,PXL-D10A (OB) 30-WWYY,,,00850055703186
Pixels D10 Hematite Grey,PXL-D10A (HG) 30-WWYY,,,00850055703193
Pixels D8 Midnight Galaxy,PXL-D08A (MG) 20-WWYY,,,00850055703209
Pixels D8 Aurora Sky,PXL-D08A (AS) 20-WWYY,,,00850055703216
Pixels D8 Clear,PXL-D08A (CL) 20-WWYY,,,00850055703223
Pixels D8 Onyx Black,PXL-D08A (OB) 20-WWYY,,,00850055703230
Pixels D8 Hematite Grey,PXL-D08A (HG) 20-WWYY,,,00850055703247
Pixels D6 Midnight Galaxy,PXL-D06A (MG) 50-WWYY,,,00850055703254
Pixels D6 Aurora Sky,PXL-D06A (AS) 50-WWYY,,,00850055703261
Pixels D6 Clear,PXL-D06A (CL) 50-WWYY,,,00850055703278
Pixels D6 Onyx Black,PXL-D06A (OB) 50-WWYY,,,00850055703285
Pixels D6 Hematite Grey,PXL-D06A (HG) 50-WWYY,,,00850055703292
Pixels D4 Midnight Galaxy,PXL-D04A (MG) 50-WWYY,,,00850055703308
Pixels D4 Aurora Sky,PXL-D04A (AS) 50-WWYY,,,00850055703315
Pixels D4 Clear,PXL-D04A (CL) 50-WWYY,,,00850055703322
Pixels D4 Onyx Black,PXL-D04A (OB) 50-WWYY,,,00850055703339
Pixels D4 Hematite Grey,PXL-D04A (HG) 50-WWYY,,,00850055703346
Pixels Pipped D6 Midnight Galaxy,PXL-DP6A (MG) 40-WWYY,,,00850055703353
Pixels Pipped D6 Aurora Sky,PXL-DP6A (AS) 40-WWYY,,,00850055703360
Pixels Pipped D6 Clear,PXL-DP6A (CL) 40-WWYY,,,00850055703377
Pixels Pipped D6 Onyx Black,PXL-DP6A (OB) 40-WWYY,,,00850055703384
Pixels Pipped D6 Hematite Grey,PXL-DP6A (HG) 40-WWYY,,,00850055703391
Pixels Fudge Midnight Galaxy,PXL-DF6A (MG) 50-WWYY,,,00850055703407
Pixels Fudge Aurora Sky,PXL-DF6A (AS) 50-WWYY,,,00850055703414
Pixels Fudge Clear,PXL-DF6A (CL) 50-WWYY,,,00850055703421
Pixels Fudge Onyx Black,PXL-DF6A (OB) 50-WWYY,,,00850055703438
Pixels Fudge Hematite Grey,PXL-DF6A (HG) 50-WWYY,,,00850055703445
Pixels RPG Set Midnight Galaxy,SET-RPGA (MG) 10-WWYY,N/A,N/A,00850055703452
Pixels RPG Set Aurora Sky,SET-RPGA (AS) 10-WWYY,,,00850055703469
Pixels RPG Set Clear,SET-RPGA (CL) 10-WWYY,,,00850055703476
Pixels RPG Set Onyx Black,SET-RPGA (OB) 10-WWYY,,,00850055703483
Pixels RPG Set Hematite Grey,SET-RPGA (HG) 10-WWYY,,,00850055703490
